country,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Kenya,109400,84200,110400,134700,172200,128400,162200,216300,241600,221486,205743,164383,136284,172332,158059,200274,178160,175121,207268,215674,214400,247500,253000,144590,250735,258840,233645,244525,243000,249411,264457,297000,212776,297000,312644,315000,252000,270810,211788,204232,256997,307215,378665,379425,368879,329193,322320,336688,219301,511994,268482,441944,449641,228900,238600,214700,165200,336600,366200,404700,245300
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,5,7,15,23,79,50,3,3,72,43,37,7,296,431,445,365,306,727,509,665,509,510,478,398,84,162,62,116,37,56,45,12,22,9,57,62.39,36.74
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679000,830700,608400,625000,964100,1273660,1203676,1109107,1039109,1190600,1162567,1013718,998248,950076,840299,708877,746200,1056656,813300,799841,540531,819383,572734,704601,661513.9,600997.2,615926,601216.2,629051.5,362711
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332400,338300,199400,243700,357500,394600,385300,351900,427400,451700,519500,468400,499900,676500,598300,807300,989600,1036400,989400,939500,1539800,1435000,1467500,2250100,2062300,2138800,1431600,2371000,2659600,2407700
Lebanon,68500,75247,60000,59500,55000,69992,67690,47673,32956,43005,40971,63686,55138,75560,65000,40000,50000,45000,40000,20000,22000,23000,20000,18000,22500,30000,49218,51490,56438,52000,58594,61580,55000,52675,60005,58342,58394,80600,73000,108100,139500,119000,116300,136800,143700,153400,116200,143700,111400,83000,125000,150000,140000,140000,139000,129037,125797,130000,140000,100000,100000
Lesotho,57540,55000,55000,54000,50000,58000,50000,53780,59696,57552,57903,24000,36000,57000,45337,44640,61381,57906,33629,28194,16993,14462,14810,17127,18434,11009,18547,19237,29698,33162,6844,11854,8127,11955,10603,31300,33722,29641,15426,15545,50755,26250,21805,16216,13797,6085,3956,3720,7420,20119,20065,10516,13472,12592,7069,4690,8851,6975,1432,2004,6000
Libya,29992,33600,34100,28000,56913,57788,62221,52041,78421,27189,17726,41585,67327,38682,75134,133101,48117,99295,110000,140500,123110,188000,209737,183634,149000,190000,172000,161011,185000,128760,130000,125000,126000,120000,117000,124000,156400,140000,130000,125000,125000,125000,125000,125000,125000,104000,104000,104000,105000,132239.07,166000,200000,200000,200000,160000,200000,140000,200000,140000,130000,130000
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833800,890600,549400,637300,936200,1127400,1031000,870900,1237600,1076300,1217600,1204100,1430200,1379400,809800,1390700,1722500,2100200,1710400,1869300,2998900,2871300,3230600,4380330,3844491,3917372,2838900,3843850,4818750,4248850
Madagascar,,,,,,,,,,,,,,,,260,483,420,147,323,300,300,300,300,300,563,337,1000,3000,5000,9000,10000,8000,4000,14000,4000,5000,10000,10000,9000,10000,10000,8814.95,8833.07,10059.62,10000,11000,10000,8812.94,8694.39,10000,10000,5000,5000,5000,5000,5000,5000,5000,1000,2000
Malawi,150,150,178,300,500,611,764,630,665,1814,665,855,605,544,635,919,407,500,500,500,688,700,700,1644,787,1287,1669,1869,1481,1639,877,613,1014,208,1572,2315,1339,1842,1655,1815,2241,1520,1502,1668,1730,1999,4605,2386,2590,2341,1850,1956,1784,1160,1178,797,745,729,566,697,1000
